TYPEAHEAD,YRKE
Lær,Lærling (maskinarbeider)
Ver,Verktøyinnstiller
Dre,Dreier
Ver,Verktøysliper
Fer,Ferdigstiller (maskindeler)
Bil,Bilmekaniker
Bil,Bilmekaniker (lette kjøretøy)
Bil,Bilmekaniker (tunge kjøretøy)
Dek,Dekkmontør
Eks,Eksosmontør
Mot,Motorsykkelreparatør
Ver,Verkstedleder
Lær,Lærling (bilmekaniker lette kjøretøy)
Lær,Lærling (bilmekaniker tunge kjøretøy)
Lær,Lærling (hjulutruster)
Lær,Lærling (motorsykkelreparatør)
Lær,Lærling (sykkelreparatør)
Lær,Lærling (bilmekaniker)
Bil,Bilgummiarbeider
Und,Understellsbehandler
Vul,Vulkanisør
Fly,Flyinteriørmekaniker
Fly,Flykomponentmekaniker
Fly,Flymotormekaniker
Fly,Flystrukturmekaniker
Fly,Flysystemmekaniker
Fly,Flymekaniker
Lær,Lærling (flyinteriør-/utstyrsmekaniker)
Lær,Lærling (flykomponentmekaniker)
Lær,Lærling (flymotormekaniker)
Lær,Lærling (flystrukturmekaniker)
Lær,Lærling (flysystemmekaniker)
Fag,Fagarbeider (flytekniske fag)
Fly,Flyelektrotekniker
Fly,Flyplassekspeditør
Fly,Fly-radiotekniker
Luf,Luftsikkerhetstekniker
Lær,Lærling (flytekniske fag)
Anl,Anleggsmaskinmekaniker
Anl,Anleggsmaskinreparatør
Ind,Industrimekaniker
Lan,Landbruksmaskinmekaniker
Mot,Motormekaniker
Tog,Togmekaniker
Lær,Lærling (anleggsmaskinmekanikk)
Lær,Lærling (industrimekanikk)
Lær,Lærling (landbruksmekaniker)
Lær,Lærling (motormekanikk)
Bad,Badereparatør
Rig,Riggmekaniker
Båt,Båtmekaniker
Syk,Sykkelreparatør
Rul,Rullestolreparatør
Fin,Finmekaniker
Nau,Nautisk instrumentmaker
Opt,Optroniker
Pre,Presisjonsinstrumentmaker og -reparatør
Pro,Protese- og ortosemaker
Urm,Urmaker
Lær,Lærling (finmekanikk)
Lær,Lærling (nautisk instrumentmaker)
Lær,Lærling (optroniker)
Lær,Lærling (ortopedisk fottøymaker)
Lær,Lærling (protese- og ortosemaker)
Lær,Lærling (storurmaker)
Lær,Lærling (urmaker)
Våp,Våpenmekaniker
Kam,Kamerareparatør
Lær,Lærling (instrumentmaker- og reparatør)
For,Forgyller
Mus,Musikkinstrumentmaker
Mus,Musikkinstrumentreparatør
Org,Orgelbygger
Pia,Pianostemmer
Lær,Lærling (orgelbygger)
Lær,Lærling (musikkinstrumentmaker)
Fil,Filigransarbeider
Gra,Gravør (edelmetall)
Fag,Fagarbeider (gull- og sølvvarer)
Gul,Gullsmed
Søl,Sølvsmed
Lær,Lærling (filigransarbeider)
Lær,Lærling (forgyller)
Lær,Lærling (gravør)
Lær,Lærling (gullsmed)
Lær,Lærling (sølvsmed)
Juv,Juveler
Ema,Emaljør
Ker,Keramiker
Pot,Pottemaker
Lær,Lærling (pottemaker)
Lær,Lærling (keramikk)
Mod,Modellør (keramisk forming)
Gla,Glasshåndverker
Lær,Lærling (glasshåndverk)
Kry,Krystallsliper
Lin,Linsesliper
Dek,Dekormaler
Ker,Keramisk dekoratør
Mat,Matter (dekor)
Gra,Gravør (glasshåndverk)
Møn,Mønstersliper (glasshåndverk)
Bør,Børstebinder
Kur,Kurvmaker
Tre,Treskjærer
Lær,Lærling (kurvmaker)
Lær,Lærling (treskjærer)
Bro,Broderer
Bun,Bunadmedarbeider
Duo,Duodji
Hek,Hekler
Hån,Håndvever
Str,Strikker (håndstrikking)
Sye,Syer (håndsøm)
Kun,Kunststopper
Lær,Lærling (duodjar)
Lær,Lærling (håndvever)
Lær,Lærling (strikker)
Lær,Lærling (veving og husflidsproduksjon)
Lær,Lærling (bunadtilvirker)
Kun,Kunsthåndverker (stein)
Flu,Fluebinder
Ets,Etser (dyptrykk)
Gra,Grafiker (førtrykk)
Lær,Lærling (grafiker)
Lay,Layouter
Rep,Repromontør
Sca,Scanner
Set,Setter
Typ,Typograf
Gra,Grafisk trykker
Ser,Serigraf
Try,Trykker
Lær,Lærling (grafisk trykker)
Lær,Lærling (serigraf)
Bok,Boktrykkermester
Fle,Flexotrykker
Pro,Produksjonsmedarbeider (kopisenter)
Bok,Bokbinder
Mas,Maskininnbinder
Lær,Lærling (bokbinding)
Kop,Kopieringsmedarbeider
Ele,Elektriker
Ele,Elektroreparatør
Lær,Lærling (elektriker)
Lær,Lærling (elektromotor- og transformatorreparatør)
Lær,Lærling (elektroreparatør)
Lær,Lærling (komponentavioniker)
Lær,Lærling (signalmontør)
Lær,Lærling (systemavioniker)
Lær,Lærling (togelektriker)
Elm,Elmontør
Ele,Elektroinstallatør
Aut,Automatiker
Aut,Automatmekaniker
Bil,Bilelektriker
Ele,Elektromotor- og transformatorreparatør
Hei,Heismontør
Kom,Komponentavioniker
Sig,Signalmontør
Ski,Skipselektriker
Sys,Systemavioniker
Tav,Tavlemontør
Tog,Togelektriker
Lær,Lærling (automatiker)
Lær,Lærling (automatikkmekaniker)
Lær,Lærling (tavlemontør)
Lær,Lærling (vikler- og transformatormontør)
Lær,Lærling (automasjonsmekaniker)
Ele,Elektroarbeider
Fly,Flyelektriker
Vik,Vikler
Ele,Elektromaskinist
Hei,Heismontørlærling
Ene,Energimontør
Tra,Transformatormontør
Lær,Lærling (energimontør)
Ser,Serviceelektroniker
Kon,Kontormaskinreparatør
Kop,Kopimaskintekniker
Rad,Radio- og TV-reparatør
Sva,Svakstrømsmontør
Tel,Tele- og IKT-installatør
Tel,Telekommunikasjonsmontør
Lær,Lærling (serviceelektroniker)
Lær,Lærling (telekommunikasjonsmontør)
Ala,Alarmmontør
Ant,Antennetekniker
Lær,Lærling (data)
Lær,Lærling (it)
Lær,Lærling (service- og telemontør)
Rad,Radarmontør
Rad,Radiomontør (kommunikasjon)
Sam,Sambandsbetjent
But,Butikkslakter
Fis,Fiskehandler
Kjø,Kjøttskjærer
Pøl,Pølsemaker
Sla,Slakter
Fil,Filetarbeider
Lær,Lærling (butikkslakter)
Lær,Lærling (fiskehandler)
Lær,Lærling (kjøttskjærer)
Lær,Lærling (pølsemaker)
Lær,Lærling (slakter)
Fis,Fiskeslakter
Bak,Baker
Kon,Konfektmaker
Kon,Konditor
Lær,Lærling (baker)
Lær,Lærling (konditor)
Hje,Hjemmeprodusenter av meieriprodukter
Ost,Ostemaker (gårdsproduksjon)
Smø,Smørmaker (gårdsproduksjon)
Små,Småprodusent (konservering av frukt og grønnsaker)
Prø,Prøvesmaker
Kva,Kvalitetsbedømmer (mat)
Sma,Smaksdommer
Møb,Møbelsnekker (håndverksproduksjon)
Lær,Lærling (møbelsnekker)
Ram,Rammemaker
Bun,Buntmaker
Her,Herreskredder
Kjo,Kjole- og draktsyer
Kos,Kostymesyer
Par,Parykkmaker
Mod,Modist
Sei,Seilmaker
Skr,Skredder
Lær,Lærling (buntmaker)
Lær,Lærling (skredder)
Lær,Lærling (kjole- og draktsyer)
Lær,Lærling (kostymesyer)
Lær,Lærling (maskør- og parykkmaker)
Lær,Lærling (modist)
Lær,Lærling (seilmaker)
Dam,Dameskredder
Mot,Moteformgiver
Mas,Maskør
Pel,Pelsmaker
Lær,Lærling (parykkmaker)
Gra,Gradør
Mas,Maskintilskjærer
Lær,Lærling (gradør)
Mod,Modellør (tekstil)
Møn,Mønsterkonstruktør
Lær,Lærling (tilskjæring)
Ind,Industritapetserer
Møb,Møbeltapetserer
Por,Porteføljemakermester
Sal,Salmaker
Lær,Lærling (industritapetserer)
Lær,Lærling (møbeltapetserer)
Lær,Lærling (salmaker)
Hud,Hudarbeider (møbelproduksjon)
Gar,Garver
Ski,Skinnarbeider
Lær,Lærling (garver)
Hud,Hudarbeider
Lær,Lærarbeider
Lær,Lærling (hud/skinn)
Pel,Pelsbereder
Sko,Skomaker
Lær,Lærling (skomaker)
Sko,Skoflikker
Dyk,Dykker
Sig,Signalmann
Lær,Lærling (dykker)
Kam,Kammeroperatør
Sky,Skytebas
Tun,Tunnel- og fjellarbeider
Lær,Lærling (tunnel- og fjellarbeider)
Lad,Lader
Min,Minerer
Spr,Spregningsarbeider
Pro,Produkttester (ikke matprodukter)
Ull,Ullklassifisør
Kon,Kontrollør (fiskeredskap)
Kva,Kvalitetssikringsassistent
Ska,Skadedyrinspektør
Ugr,Ugressbekjemper
Ski,Skimaker
Blo,Blomsterdekoratør
Lær,Lærling (blomsterdekoratør)
Ber,Bergfagarbeider
Lær,Lærling (bergfagarbeid)
Ber,Bergmester (gruvedrift)
Ber,Bergverksarbeider
Ber,Bergverksoperatør
Bor,Borevognsopratør (gruve)
For,Formann (bergfagarbeid)
Gru,Gruvearbeider
Ove,Overstiger
Pro,Produksjonsarbeider (bergfagarbeid)
Spe,Spesialarbeider (bergfagarbeid)
Sti,Stiger (gruve)
Ved,Vedlikeholdsarbeider (bergfagarbeid)
Pro,Prosessoperatør (oppredning)
For,Formann (oppredning)
Opp,Oppredningsarbeider
Ski,Skiftbas (oppredning)
Spe,Spesialarbeider (oppredning)
Lær,Lærling (oppredning)
Bor,Boredekksarbeider
Bor,Borer (olje- og gassutvinning)
Brø,Brønnserviceoperatør (olje- og gassutvinning)
Hel,Helikoptervakt (olje- og gassutvinning)
Ope,Operatør (olje- og gassutvinning)
Ope,Operatør innen boring mv.
ROV,ROV-operatør
Tår,Tårnarbeider
Lær,Lærling (brønnoperatør hydrauliske rør)
Lær,Lærling (brønnoperatør kabeloperasjoner)
Lær,Lærling (brønnoperatør komplettering)
Lær,Lærling (brønnoperatør sementering)
Ass,Assisterende borer
Ass,Assisterende tårnarbeider
Ass,Assisterende tårnmann
Bor,Borearbeider
Dia,Diamantborer (olje- og gassutvinning)
Brø,Brønnborer (olje- og gassutvinning)
Dri,Driller (olje- og gassutvinning)
Kra,Kranfører (olje- og gassutvinning)
Mas,Maskinromsoperatør (bore- og entrepenørfartøy)
MPA,MPA-operatør
Off,Offshore-arbeider
Rep,Reparatør (olje- og gassutvinning)
Rou,Roughneck (olje- og gassutvinning)
Sen,Senior operatør (olje- og gassutvinning)
Spe,Spesialarbeider (olje- og gassutvinning)
Tra,Trainee (olje- og gassutvinning)
Tår,Tårnmann
Brø,Brønnservicetekniker (olje- og gassutvinning)
Ele,Elektrisk kabeloperasjonsoperatør (olje- og gassutvinning)
Ele,Elektrisk kabeloperasjonstekniker (olje- og gassutvinning)
Mek,Mekanisk kabeloperasjonsoperatør (olje- og gassutvinning)
Mek,Mekanisk kabeloperasjonstekniker (olje- og gassutvinning)
Sem,Sementeringstekniker (olje- og gassutvinning)
Try,Trykktester (olje- og gassutvinning)
Wir,Wirelinetekniker (olje- og gassutvinning)
Hje,Hjelpearbeider (borerigg)
Asf,Asfaltverkarbeider
Ste,Steinullarbeider (fremstilling)
Ope,Operatør (betong- og sementproduksjon)
Ope,Operatør innen produksjon av betong
Lær,Lærling (betongproduksjon)
Sem,Sementarbeider (fremstilling)
Bet,Betongindustriarbeider
Bet,Betongvarearbeider
For,Formann (betongproduksjon)
Ope,Operatør (gipsplater)
Ope,Operatør (steinullfremstilling)
Pro,Produksjonsarbeider (betongproduksjon)
Pro,Produksjonsarbeider (gipsplater)
Pro,Produksjonsarbeider (steinullfremstilling)
Sem,Sementstøper
Spe,Spesialarbeider (betongproduksjon)
Kab,Kabelbygger
Met,Metallformer
Ope,Operatør (metallvareproduksjon)
Spe,Spesialarbeider (metallvareproduksjon)
Ope,Operatør (metallverk)
Ope,Operatør (smelteverk)
Lær,Lærling (metallurgisk prosessfag)
Lær,Lærling (metallvareproduksjon)
Lær,Lærling (kabelbygger)
Lær,Lærling (metallforming)
Ele,Elektrolyseoperatør
Fag,Fagoperatør (metallurgisk prosessfag)
Fag,Fagoperatør (metallverk)
Fag,Fagoperatør (smelteverk)
For,Formann (smelteverk)
Lær,Lærling (metallverk)
Lær,Lærling (smelteverk)
Ovn,Ovnsarbeider
Pro,Produksjonsarbeider (metallverk)
Pro,Produksjonsarbeider (smelteverk)
Pro,Prosessoperatør (metallverk)
Pro,Prosessoperatør (smelteverk)
Raf,Raffinerer (metallverk)
Spe,Spesialarbeider (metallurgisk prosessfag)
Stø,Støper (metallverk)
Stå,Stålarbeider
Fag,Fagoperatør (pressverk)
Ope,Operatør (pressverk)
Ope,Operatør (valseverk)
Pre,Pressverksstøper
Pro,Prosessoperatør (metallstøping)
Spe,Spesialarbeider (metallforming)
Trå,Trådtrekker
Fag,Fagarbeider (myntproduksjon)
For,Formann (metallgjenvinning)
Jer,Jernskjærer (metallgjenvinning)
Kon,Kontrolltekniker (myntproduksjon)
Mas,Maskinoperatør (metallvareproduksjon)
Myn,Myntarbeider
Ope,Operatør (metallgjenvinning)
Pro,Produksjonsarbeider (metallvareproduksjon)
Pro,Produksjonsleder (metallvareproduksjon)
Pro,Produksjonsmedarbeider (metallgjenvinning)
Spe,Spesialarbeider (myntproduksjon)
Bån,Båndsager (metall)
Ope,Operatør innen metalloverflatebehandling
Ope,Operatør (ammunisjonsproduksjon)
Ope,Operatør (andre kjemiske produkter)
Ope,Operatør (farmasøytiske produkter)
Ope,Operatør (kjemisk prosessindustri)
Ope,Operatør (maling- og lakkproduksjon)
Ope,Operatør (kjemisk industri)
Lær,Lærling (kjemisk prosessindustri)
Lær,Lærling (fagoperatør kjemisk teknisk industri)
Fag,Fagarbeider (elektrokjemisk industri)
Kok,Koker (kjemisk produksjon)
Aut,Autoklavpasser (kjemisk produksjon)
Bla,Blandemaskinoperatør (kjemisk produksjon)
Bla,Blander (kjemisk produksjon)
Bre,Brenner (emalje lakk)
Des,Destillatør (ikke olje)
Kok,Koksbrenner
Fil,Filtrerer (kjemisk produksjon)
Gas,Gassgeneratorpasser
Lær,Lærling (mekanisk prosessindustri)
Inn,Inndamper (kjemisk produksjon)
Kal,Kalkbrenner
Kam,Kammerovnspasser (gass)
Knu,Knusemaskinpasser (kjemisk produksjon)
Mes,Mesaombrenner
Mik,Mikser (kjemisk produksjon)
Møl,Møllearbeider (kjemisk produksjon)
Olj,Oljeblander
Ovn,Ovnspasser
Pro,Produksjonsarbeider (kjemisk prosessindustri)
Rot,Roterovnspasser
Rot,Roterovnsbrenner
Sep,Separatør (kjemisk produksjon)
Ter,Terpentindestillatør
Tre,Trekullbrenner
Lær,Lærling (produksjon av hygieniske og farmasøytiske produkter)
Spe,Spesialarbeider (produksjon av hygieniske og farmasøytiske produkter)
Spe,Spesialarbeider (sprengstoffproduksjon)
For,Formann (maling- og lakkproduksjon)
Lær,Lærling (maling- og lakkproduksjon)
Pro,Produksjonsarbeider (maling- og lakkproduksjon)
Spe,Spesialarbeider (maling- og lakkproduksjon)
Bat,Batteriarbeider (tilvirkning)
Lær,Lærling (annen kjemisk-teknisk industri)
Ope,Operatør (fyrstikkproduksjon)
Ope,Operatør (halogengassproduksjon)
Ope,Operatør (linoleumsproduksjon)
Ope,Operatør (stearinlysproduksjon)
Pro,Produksjonsarbeider (asfaltpapp o.l.)
Pro,Produksjonsarbeider (stearinlysproduksjon)
Pro,Produksjonsarbeider (elektrokjemisk industri)
Fot,Fotolaborant
Fil,Filmfremkaller
Ope,Operatør (produksjon av fotografisk film)
Fot,Fotoassistent
Ope,Operatør (fremkalling forstørring kopiering/film)
Fot,Fotolaboratorieassistent
Fot,Fototekniker
Mør,Mørkeromsarbeider
Ret,Retusjør (fotolaboratorium)
Ope,Operatør (gummiprodukter)
Ope,Operatør (vulkanisering)
Dek,Dekkbygger
For,Formann (gummiprodukter)
Gum,Gummivarearbeider
Kal,Kalanderoperatør (gummiprodukter)
Lær,Lærling (gummiprodukter)
Ope,Operatør (dekkproduksjon)
Ope,Operatør (sprøytestøping)
Pro,Produksjonsarbeider (gummiprodukter)
Sla,Slangebygger (gummiprodukter)
Spe,Spesialarbeider (gummiprodukter)
Spr,Sprøytemaskinarbeider (gummiprodukter)
Til,Tilskjærer (gummiprodukter)
Ope,Operatør (plast)
Pla,Plastarbeider
Pla,Plastformer
Lær,Lærling (plastfag)
For,Formann (plast)
Lam,Laminatpresser (plast)
Ope,Operatør (kontaktlinseproduksjon)
Pla,Plastfagarbeider
Pla,Plastbåtbygger
Pla,Plastmekaniker
Pla,Plaststøper
Pre,Presser (plast)
Pro,Produksjonsarbeider (plast)
Spe,Spesialarbeider (plast)
Spr,Sprøytemaskinarbeider (plast)
Spr,Sprøytestøper (plast)
Val,Valseverkoperatør (plast)
Ope,Operatør (kartonasje)
Pro,Produksjonsarbeider (kartonasje)
Lær,Lærling (kartonasje)
For,Formann (kartonasje)
Spe,Spesialarbeider (kartonasje)
Ope,Operatør (spinne- og nøstemaskin)
Lær,Lærling (spinne- og nøstemaskin)
For,Formann (spinne- og nøstemaskin)
Spe,Spesialarbeider (spinne- og nøstemaskin)
Spi,Spinner
Tek,Tekstiloperatør (garnfremstilling og spinning)
Spi,Spinner (fiskeredskap)
Pro,Produksjonsmedarbeider (trikotasje)
Tek,Tekstiloperatør (fiskeredskap)
Tek,Tekstiloperatør (trikotasje)
Tek,Tekstiloperatør (veving)
Lær,Lærling (fiskeredskap)
Lær,Lærling (trikotasje)
Vin,Vinner (fiskeredskap)
For,Formann (trikotasje)
Spe,Spesialarbeider (trikotasje)
Bin,Binder
Bøt,Bøter
For,Formann (fiskeredskap)
Imp,Impregnerer (fiskeredskap)
Pro,Produksjonsarbeider (fiskeredskap)
Snø,Snørelager (fiskeredskap)
Spe,Spesialarbeider (fiskeredskap)
Spo,Spoler (fiskeredskap)
Rep,Repslager
Ind,Industrisyer
Lær,Lærling (industrisying)
For,Formann (industrisying)
Nup,Nupper (tekstil)
Par,Paraplymaker
Pro,Produksjonsarbeider (markiser)
Spe,Spesialarbeider (industrisying)
Sto,Stopper (tekstil)
Søm,Sømoperatør
Ope,Operatør innen tekstilbearbeiding
Tek,Tekstiloperatør (farging trykking og etterbehandling)
Ort,Ortopedinåtler
Ban,Bandasjearbeider
Ope,Operatør (garving)
Ope,Operatør (lærfarging)
Ope,Operatør (sko- og veskeproduksjon)
Ope,Operatør innen skinn- og lærprodukter
Lær,Lærling (sko- og veskeproduksjon)
Bel,Beleggskjærer (skoproduksjon)
Buk,Bukker (skoproduksjon)
Bun,Bunnlærstanser (skoproduksjon)
For,Formann (sko- og veskeproduksjon)
For,Forskjærer (skoproduksjon)
Nat,Natler (skoproduksjon)
Ove,Overlærskjærer (skoproduksjon)
Per,Perforerer (skoproduksjon)
Pro,Produksjonsarbeider (lær- og skinnprodukter)
Skj,Skjerfer (skoproduksjon)
Spe,Spesialarbeider (skoproduksjon)
Til,Tilskjærer (skoproduksjon)
Ope,Operatør (lær- og skinnprodukter)
Mes,Mester (tekstilrenholdsfaget)
Ren,Renserimaskinarbeider
Vas,Vaskeriassistent
Lær,Lærling (farging vasking rensing mv. av tekstil o.l.)
App,Appreturarbeider (tekstil)
Far,Fargeriarbeider (tekstil)
For,Forman (farging vasking rensing mv. av tekstil o.l.)
Kje,Kjemisk renser
Pel,Pelsrenser
Ren,Renseriarbeider
Vas,Vaskerimedarbeider
Spe,Spesialarbeider (farging vasking rensing mv. av tekstil o.l.)
Tek,Tekstilrenholder
Ope,Operatør (hattemakermaskin)
Ope,Operatør (snorlagingsmaskin)
Fag,Fagarbeider (fiskeindustri)
For,Formann (næringsmiddelproduksjon)
Ope,Operatør (næringsmiddelindustri)
Lær,Lærling (fiskeindustri)
Lær,Lærling (kjøttindustri)
Lær,Lærling (meieriprodukter)
Aut,Autoklavoperatør (steriliserer)
Spe,Spesialarbeider (fiskeindustri)
For,Formann (fiskeindustri)
Kon,Kontrollør (fiskeindustri)
Pro,Produksjonsarbeider (fiskeindustri)
Spe,Spesialarbeider (kjøttindustri)
Pro,Produksjonsarbeider (kjøttindustri)
Fag,Fagoperatør (meieriprodukter)
For,Formann (meieriprodukter)
Mei,Meieriarbeider
Ope,Operatør (margarinproduksjon)
Pro,Produksjonsarbeider (meieriprodukter)
Spe,Spesialarbeider (meieriprodukter)
Fag,Fagoperatør (korn- og kryddermølle)
For,Formann (korn- og kryddermølle)
Lær,Lærling (korn- og kryddermølle)
Møl,Møllearbeider
Møl,Møllemester
Pro,Produksjonsarbeider (korn- og kryddermølle)
Pro,Produksjonsleder (fiskeforproduksjon)
Pro,Produksjonsmedarbeider (kraftfor)
Spe,Spesialarbeider (korn- og kryddermølle)
Bak,Bakeriarbeider
For,Formann (bakverk korn- og sjokoladeprodukter)
Kon,Konsjeoperatør (sjokolade)
Lær,Lærling (bakverk korn- og sjokoladeprodukter)
Ope,Operatør (bakverk korn- og sjokoladeprodukter)
Ope,Operatør (pastatilvirkning)
Pro,Produksjonsarbeider (bakverk korn- og sjokoladeprodukter)
For,Formann (frukt grønnsaker og nøtter)
Kon,Konserveringsarbeider (hermetikkproduksjon av frukt og grønnsaker)
Lær,Lærling (frukt grønnsaker og nøtter)
Ope,Operatør (frukt grønnsaker og nøtter)
Ope,Operatør (fruktpresse)
Ope,Operatør (oljepresse)
Pro,Produksjonsarbeider (frukt grønnsaker og nøtter)
Bre,Brenneriarbeider
Bre,Brennevinsarbeider
Bry,Bryggeriarbeider
For,Formann (bryggeri)
Bry,Bryggerimester
Ik-,Ik-koordinator (bryggeri)
Lær,Lærling (bryggeri)
Ma-,Ma-koordinator (bryggeri)
Mas,Maskinmester (bryggeri)
Mas,Maskinpasser (bryggeri)
Ope,Operatør (bryggeri)
Pro,Produksjonsarbeider (bryggeri)
Spe,Spesialarbeider (brennevin)
Spe,Spesialarbeider (bryggeri)
Vin,Vinarbeider
For,Formann (tobakksproduksjon)
Kaf,Kaffebrenner
Kak,Kakaorøster
Kon,Konserveringsarbeider (annen næringsmiddelproduksjon)
Lær,Lærling (tobakksproduksjon)
Mas,Maskinfører (annen næringsmiddelproduksjon)
Ope,Operatør (sukker- sirup- og honningproduksjon)
Ope,Operatør (tobakksproduksjon)
Pro,Produksjonsarbeider (andre næringsmiddelprodukter)
Pro,Produksjonsarbeider (tobakksproduksjon)
Ope,Operatør (spon- og fiberplateproduksjon)
Ope,Operatør (treforedlingsindustri)
Pro,Produksjonsarbeider (limtreproduksjon)
Lær,Lærling (spon- og fiberplateproduksjon)
Lær,Lærling (treforedlingsindustri)
Cel,Cellulosearbeider
Fag,Fagarbeider (cellulose)
Fag,Fagarbeider (papirproduksjon)
Ope,Operatør (cellulose)
Ope,Operatør (papirproduksjon)
For,Formann (cellulose)
For,Formann (papirproduksjon)
For,Formann (treforedlingsindustri)
Før,Førstepasser (papir/papp)
Gau,Gauffrerer (papir/papp)
Gil,Giljotinskjærer (papir/papp)
Hol,Hollenderiarbeider (papir/papp)
Hyl,Hylsemaker (papir/papp)
Kal,Kalanderarbeider (papir/papp)
Lim,Limkoker (papir/papp)
Lær,Lærling (cellulose)
Lær,Lærling (papirproduksjon)
Mas,Maskinsalarbeider (papirfabrikk)
Mas,Maskinstiller (papirfabrikk)
Mas,Masseoppløser (papir/papp)
Pap,Papirarbeider
Pap,Papirmaskinfører
Pap,Papirsorterer
Pap,Pappsalarbeider (papir/papp)
Pre,Preger (papir/papp)
Pro,Produksjonarbeider (treforedlingsindustri)
Ren,Renseriarbeider (papir/papp)
Rul,Rullmaskinarbeider (papir/papp)
Skj,Skjæremaskinarbeider (papir/papp)
Sli,Sliperiarbeider (papirproduksjon)
Sor,Sortersalarbeider (papirfabrikk)
Sta,Stanser (papir/papp)
Tør,Tørker (papir/papp)
Vir,Virepasser (papir/papp)
For,Formann (spon- og fiberplateproduksjon)
Lim,Limarbeider (spon- og fiberplateproduksjon)
Mas,Maskinfører (spon- og fiberplateproduksjon)
Pre,Presser (spon- og fiberplateproduksjon)
Pro,Produksjonsarbeider (spon- og fiberplateproduksjon)
Pus,Pussemaskinarbeider (spon- og fiberplateproduksjon)
Tre,Trefiberplatearbeider
Ope,Operatør (limtreproduksjon)
Ope,Operatør (parkettproduksjon)
Ope,Operatør (trelast)
Avd,Avdelingsleder (trevare)
Lær,Lærling (møbelindustri trebearbeiding)
Pro,Produksjonsarbeider (parkettproduksjon)
Lær,Lærling (trevare)
Fli,Flisarbeider (trelast)
Høv,Høvelmester
Høv,Høvler (sagbruk)
Lei,Leigeskjærer (trelast)
Pro,Produksjonsarbeider (møbelindustri trebearbeiding)
Pro,Produksjonsarbeider (rammeproduksjon)
Pro,Produksjonsarbeider (trelast)
Pro,Produksjonsassistent (møbelindustri trebearbeiding)
Pro,Produksjonsleder (trevare)
Pås,Påstikker (tømmer)
Sag,Sagbruksarbeider
Sag,Sagmester
Sor,Sorterer (trevirke)
Til,Tilrettelegger (møbelindustri trebearbeiding)
Tre,Trelastarbeider
Tre,Trevirkesorterer
Tøm,Tømmerberegner (sagbruk)
Tøm,Tømmermottaker (sakbruk)
Tøm,Tømmersorterer (sagbruk)
Tør,Tørkepasser (sagbruk)
Ker,Keramisk former
Kva,Kvalitetskontrollør (industriell glassproduksjon)
Ope,Operatør (industriell glassproduksjon)
Ope,Operatør (dekor)
Lær,Lærling (industriell glassproduksjon)
Lær,Lærling (keramisk forming)
For,Formann (keramisk forming)
Gla,Glasurarbeider (keramisk forming)
Inn,Innretter (keramisk forming)
Kap,Kapselformer (porselen)
Ker,Keramikkontrollør
Møl,Møller (keramisk forming)
Ope,Operatør (keramisk forming)
Ope,Operatør (teglverk)
Pre,Pressebas (tegl)
Pro,Produksjonsarbeider (keramikk/porselen)
Sor,Sorterer (porselen)
Teg,Teglsorterer
Dys,Dysemaker (industriell glassproduksjon)
Fag,Fagarbeider (industriell glassproduksjon)
For,Formann (industriell glassproduksjon)
Gla,Glasskontrollør (industriell glassproduksjon)
Gla,Glassliper (industriell glassproduksjon)
Gla,Glassmaker (industriell glassproduksjon)
Pro,Produksjonsarbeider (industriell glassproduksjon)
Sor,Sortbytter (industriell glassproduksjon)
Spe,Spesialarbeider (industriell glassproduksjon)
Mas,Massearbeider (keramikk)
Men,Mengeblander
Men,Menger (glass)
Ope,Operatør (glassfiberproduksjon)
Pro,Produksjonsarbeider (glassvatt)
Sle,Slemmeriarbeider (keramikk)
Ste,Steinbaker (glass)
Fyr,Fyrkjeleoperatør (stasjonære anlegg)
Mot,Motormann
Pum,Pumpemann
Rep,Reparatør (skip)
Ski,Skipsmekanikeraspirant
Kom,Kompressoroperatør
Fyr,Fyrbøter
Mas,Maskinassistent (skip)
Mas,Maskinpasser (skip)
Smø,Smører (skip)
Lær,Lærling (forbrenningsanlegg)
Mas,Maskinpakker (kjøttindustri)
Tek,Tekniker (vareautomat)
Ope,Operatør av pakkemaskiner (trykkeri)
Pro,Produksjonsleder (pakking trykkeri)
Mas,Maskinpakker (fiskeindustri)
Eti,Etikettarbeider (fiskeindustri)
Emb,Emballasjearbeider (hermetikk - fisk)
Emb,Emballasjearbeider (hermetikk - kjøtt)
Eti,Etikettarbeider (kjøttindustri)
Kon,Konserveringsarbeider (kjøttindustri)
Emb,Emballasjearbeider (hermetikk - meieriprodukter)
Eti,Etikettarbeider (meieriprodukter)
Mas,Maskinpakker (meieriprodukter)
Tap,Tappemaskinoperatør (meieriprodukter)
Eti,Etikettarbeider (korn og kryddermølle)
Mas,Maskinpakker (korn og kryddermølle)
Eti,Etikettarbeider (bakverk korn- og sjokoladeprodukter)
Mas,Maskinpakker (bakverk korn- og sjokoladeprodukter)
Emb,Emballasjearbeider (hermetikk - frukt grønnsaker og nøtter)
Eti,Etikettarbeider (frukt grønnsaker og nøtter)
Fru,Fruktpakker
Mas,Maskinpakker (frukt grønnsaker og nøtter)
Eti,Etikettarbeider (bryggeri)
Tap,Tappemaskinoperatør (bryggeri)
Tap,Tapperiarbeider (bryggeri)
Tap,Tapperiformann (bryggeri)
Tap,Tapperioperatør (bryggeri)
Emb,Emballasjearbeider (hermetikk - andre næringsmiddelprodukter)
